,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P86;http://www.wikidata.org/entity/Q255,1,['http://www.wikidata.org/entity/Q255'],166
1,2,3-outgoing-http://www.wikidata.org/entity/Q30937;http://www.wikidata.org/prop/direct/P3092,166,"['http://www.wikidata.org/entity/Q723790', 'http://www.wikidata.org/entity/Q169969', 'http://www.wikidata.org/entity/Q17025632', 'http://www.wikidata.org/entity/Q191560', 'http://www.wikidata.org/entity/Q146492', 'http://www.wikidata.org/entity/Q270886', 'http://www.wikidata.org/entity/Q146614', 'http://www.wikidata.org/entity/Q11887907', 'http://www.wikidata.org/entity/Q146793', 'http://www.wikidata.org/entity/Q202721', 'http://www.wikidata.org/entity/Q1217651', 'http://www.wikidata.org/entity/Q28943917', 'http://www.wikidata.org/entity/Q2296139', 'http://www.wikidata.org/entity/Q210451', 'http://www.wikidata.org/entity/Q3066527', 'http://www.wikidata.org/entity/Q3539407', 'http://www.wikidata.org/entity/Q146651', 'http://www.wikidata.org/entity/Q146669', 'http://www.wikidata.org/entity/Q166250', 'http://www.wikidata.org/entity/Q157489', 'http://www.wikidata.org/entity/Q146692', 'http://www.wikidata.org/entity/Q146296', 'http://www.wikidata.org/entity/Q3554779', 'http://www.wikidata.org/entity/Q989970', 'http://www.wikidata.org/entity/Q146060', 'http://www.wikidata.org/entity/Q188081', 'http://www.wikidata.org/entity/Q28053422', 'http://www.wikidata.org/entity/Q1087216', 'http://www.wikidata.org/entity/Q146343', 'http://www.wikidata.org/entity/Q496757', 'http://www.wikidata.org/entity/Q1207965', 'http://www.wikidata.org/entity/Q146396', 'http://www.wikidata.org/entity/Q862609', 'http://www.wikidata.org/entity/Q5903984', 'http://www.wikidata.org/entity/Q353933', 'http://www.wikidata.org/entity/Q175565', 'http://www.wikidata.org/entity/Q193778', 'http://www.wikidata.org/entity/Q270785', 'http://www.wikidata.org/entity/Q3485613', 'http://www.wikidata.org/entity/Q11980', 'http://www.wikidata.org/entity/Q3539402', 'http://www.wikidata.org/entity/Q11296777', 'http://www.wikidata.org/entity/Q1746055', 'http://www.wikidata.org/entity/Q145873', 'http://www.wikidata.org/entity/Q3478907', 'http://www.wikidata.org/entity/Q223543', 'http://www.wikidata.org/entity/Q1338933', 'http://www.wikidata.org/entity/Q145813', 'http://www.wikidata.org/entity/Q146767', 'http://www.wikidata.org/entity/Q146311', 'http://www.wikidata.org/entity/Q11993', 'http://www.wikidata.org/entity/Q2091781', 'http://www.wikidata.org/entity/Q1156413', 'http://www.wikidata.org/entity/Q146086', 'http://www.wikidata.org/entity/Q2878997', 'http://www.wikidata.org/entity/Q1410089', 'http://www.wikidata.org/entity/Q15270473', 'http://www.wikidata.org/entity/Q4446617', 'http://www.wikidata.org/entity/Q194924', 'http://www.wikidata.org/entity/Q943192', 'http://www.wikidata.org/entity/Q1136402', 'http://www.wikidata.org/entity/Q1134792', 'http://www.wikidata.org/entity/Q240321', 'http://www.wikidata.org/entity/Q162868', 'http://www.wikidata.org/entity/Q146031', 'http://www.wikidata.org/entity/Q425602', 'http://www.wikidata.org/entity/Q146712', 'http://www.wikidata.org/entity/Q905677', 'http://www.wikidata.org/entity/Q613618', 'http://www.wikidata.org/entity/Q1547987', 'http://www.wikidata.org/entity/Q11989', 'http://www.wikidata.org/entity/Q146631', 'http://www.wikidata.org/entity/Q1347019', 'http://www.wikidata.org/entity/Q231274', 'http://www.wikidata.org/entity/Q726419', 'http://www.wikidata.org/entity/Q146423', 'http://www.wikidata.org/entity/Q185445', 'http://www.wikidata.org/entity/Q223331', 'http://www.wikidata.org/entity/Q586125', 'http://www.wikidata.org/entity/Q3539406', 'http://www.wikidata.org/entity/Q210203', 'http://www.wikidata.org/entity/Q492084', 'http://www.wikidata.org/entity/Q172087', 'http://www.wikidata.org/entity/Q672061', 'http://www.wikidata.org/entity/Q787378', 'http://www.wikidata.org/entity/Q978949', 'http://www.wikidata.org/entity/Q16679669', 'http://www.wikidata.org/entity/Q565088', 'http://www.wikidata.org/entity/Q146752', 'http://www.wikidata.org/entity/Q3539328', 'http://www.wikidata.org/entity/Q15730673', 'http://www.wikidata.org/entity/Q239700', 'http://www.wikidata.org/entity/Q275877', 'http://www.wikidata.org/entity/Q166550', 'http://www.wikidata.org/entity/Q146164', 'http://www.wikidata.org/entity/Q261141', 'http://www.wikidata.org/entity/Q1163943', 'http://www.wikidata.org/entity/Q15975830', 'http://www.wikidata.org/entity/Q1154601', 'http://www.wikidata.org/entity/Q163493', 'http://www.wikidata.org/entity/Q1300778', 'http://www.wikidata.org/entity/Q232217', 'http://www.wikidata.org/entity/Q1053087', 'http://www.wikidata.org/entity/Q146730', 'http://www.wikidata.org/entity/Q3507876', 'http://www.wikidata.org/entity/Q791981', 'http://www.wikidata.org/entity/Q1067735', 'http://www.wikidata.org/entity/Q1157012', 'http://www.wikidata.org/entity/Q146148', 'http://www.wikidata.org/entity/Q146182', 'http://www.wikidata.org/entity/Q230772', 'http://www.wikidata.org/entity/Q1124867', 'http://www.wikidata.org/entity/Q29364169', 'http://www.wikidata.org/entity/Q3352885', 'http://www.wikidata.org/entity/Q2142323', 'http://www.wikidata.org/entity/Q146272', 'http://www.wikidata.org/entity/Q164658', 'http://www.wikidata.org/entity/Q517070', 'http://www.wikidata.org/entity/Q833502', 'http://www.wikidata.org/entity/Q246433', 'http://www.wikidata.org/entity/Q10716037', 'http://www.wikidata.org/entity/Q21646447', 'http://www.wikidata.org/entity/Q1632146', 'http://www.wikidata.org/entity/Q146113', 'http://www.wikidata.org/entity/Q1875243', 'http://www.wikidata.org/entity/Q1122361', 'http://www.wikidata.org/entity/Q231117', 'http://www.wikidata.org/entity/Q1132968', 'http://www.wikidata.org/entity/Q669358', 'http://www.wikidata.org/entity/Q146203', 'http://www.wikidata.org/entity/Q2108712', 'http://www.wikidata.org/entity/Q3349013', 'http://www.wikidata.org/entity/Q1557446', 'http://www.wikidata.org/entity/Q1746059', 'http://www.wikidata.org/entity/Q30937', 'http://www.wikidata.org/entity/Q12008', 'http://www.wikidata.org/entity/Q7797692', 'http://www.wikidata.org/entity/Q1350870', 'http://www.wikidata.org/entity/Q146561', 'http://www.wikidata.org/entity/Q1746016', 'http://www.wikidata.org/entity/Q246585', 'http://www.wikidata.org/entity/Q852841', 'http://www.wikidata.org/entity/Q3554775', 'http://www.wikidata.org/entity/Q15990878', 'http://www.wikidata.org/entity/Q15622682', 'http://www.wikidata.org/entity/Q4921850', 'http://www.wikidata.org/entity/Q145985', 'http://www.wikidata.org/entity/Q1816117', 'http://www.wikidata.org/entity/Q3414626', 'http://www.wikidata.org/entity/Q47423921', 'http://www.wikidata.org/entity/Q4880186', 'http://www.wikidata.org/entity/Q146535', 'http://www.wikidata.org/entity/Q163616', 'http://www.wikidata.org/entity/Q188709', 'http://www.wikidata.org/entity/Q7699268', 'http://www.wikidata.org/entity/Q145937', 'http://www.wikidata.org/entity/Q260957', 'http://www.wikidata.org/entity/Q123009', 'http://www.wikidata.org/entity/Q146133', 'http://www.wikidata.org/entity/Q3025008', 'http://www.wikidata.org/entity/Q210586', 'http://www.wikidata.org/entity/Q1217412', 'http://www.wikidata.org/entity/Q1783658', 'http://www.wikidata.org/entity/Q463907', 'http://www.wikidata.org/entity/Q43259891', 'http://www.wikidata.org/entity/Q3539329']",65
2,3,3-outgoing-http://www.wikidata.org/entity/Q47423921;http://www.wikidata.org/prop/direct/P161,65,"['http://www.wikidata.org/entity/Q28859413', 'http://www.wikidata.org/entity/Q6846576', 'http://www.wikidata.org/entity/Q29018688', 'http://www.wikidata.org/entity/Q29021275', 'http://www.wikidata.org/entity/Q28865672', 'http://www.wikidata.org/entity/Q28940811', 'http://www.wikidata.org/entity/Q29017561', 'http://www.wikidata.org/entity/Q28874343', 'http://www.wikidata.org/entity/Q28861921', 'http://www.wikidata.org/entity/Q28944008', 'http://www.wikidata.org/entity/Q28946778', 'http://www.wikidata.org/entity/Q28940810', 'http://www.wikidata.org/entity/Q22917826', 'http://www.wikidata.org/entity/Q29018475', 'http://www.wikidata.org/entity/Q29018612', 'http://www.wikidata.org/entity/Q28939744', 'http://www.wikidata.org/entity/Q29018473', 'http://www.wikidata.org/entity/Q24572304', 'http://www.wikidata.org/entity/Q28920880', 'http://www.wikidata.org/entity/Q28944009', 'http://www.wikidata.org/entity/Q28797454', 'http://www.wikidata.org/entity/Q22114600', 'http://www.wikidata.org/entity/Q28934645', 'http://www.wikidata.org/entity/Q28944006', 'http://www.wikidata.org/entity/Q28919661', 'http://www.wikidata.org/entity/Q28942632', 'http://www.wikidata.org/entity/Q28948610', 'http://www.wikidata.org/entity/Q28812889', 'http://www.wikidata.org/entity/Q28803416', 'http://www.wikidata.org/entity/Q24259053', 'http://www.wikidata.org/entity/Q28946777', 'http://www.wikidata.org/entity/Q29000863', 'http://www.wikidata.org/entity/Q29018685', 'http://www.wikidata.org/entity/Q28871848', 'http://www.wikidata.org/entity/Q28884745', 'http://www.wikidata.org/entity/Q28006804', 'http://www.wikidata.org/entity/Q28942775', 'http://www.wikidata.org/entity/Q28919659', 'http://www.wikidata.org/entity/Q28828594', 'http://www.wikidata.org/entity/Q28946775', 'http://www.wikidata.org/entity/Q28946762', 'http://www.wikidata.org/entity/Q28848209', 'http://www.wikidata.org/entity/Q5228386', 'http://www.wikidata.org/entity/Q28919283', 'http://www.wikidata.org/entity/Q28797519', 'http://www.wikidata.org/entity/Q28942312', 'http://www.wikidata.org/entity/Q28859410', 'http://www.wikidata.org/entity/Q28946774', 'http://www.wikidata.org/entity/Q28946779', 'http://www.wikidata.org/entity/Q28854823', 'http://www.wikidata.org/entity/Q28859481', 'http://www.wikidata.org/entity/Q28920163', 'http://www.wikidata.org/entity/Q28871823', 'http://www.wikidata.org/entity/Q28946776', 'http://www.wikidata.org/entity/Q28946780', 'http://www.wikidata.org/entity/Q28797455', 'http://www.wikidata.org/entity/Q28940809', 'http://www.wikidata.org/entity/Q28855257', 'http://www.wikidata.org/entity/Q28939554', 'http://www.wikidata.org/entity/Q28861919', 'http://www.wikidata.org/entity/Q28912527', 'http://www.wikidata.org/entity/Q28913006', 'http://www.wikidata.org/entity/Q28942133', 'http://www.wikidata.org/entity/Q28854932', 'http://www.wikidata.org/entity/Q28859407']",13
