,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P138;http://www.wikidata.org/entity/Q5582,1,['http://www.wikidata.org/entity/Q5582'],144
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P180;http://www.wikidata.org/entity/Q5582,144,"['http://www.wikidata.org/entity/Q19620592', 'http://www.wikidata.org/entity/Q19634928', 'http://www.wikidata.org/entity/Q19620623', 'http://www.wikidata.org/entity/Q19634958', 'http://www.wikidata.org/entity/Q19634897', 'http://www.wikidata.org/entity/Q19620618', 'http://www.wikidata.org/entity/Q19634887', 'http://www.wikidata.org/entity/Q19620609', 'http://www.wikidata.org/entity/Q19620611', 'http://www.wikidata.org/entity/Q19620597', 'http://www.wikidata.org/entity/Q19634930', 'http://www.wikidata.org/entity/Q19620591', 'http://www.wikidata.org/entity/Q19634914', 'http://www.wikidata.org/entity/Q19620578', 'http://www.wikidata.org/entity/Q19634943', 'http://www.wikidata.org/entity/Q19620612', 'http://www.wikidata.org/entity/Q19634922', 'http://www.wikidata.org/entity/Q19634896', 'http://www.wikidata.org/entity/Q1582243', 'http://www.wikidata.org/entity/Q19634865', 'http://www.wikidata.org/entity/Q19620571', 'http://www.wikidata.org/entity/Q19634954', 'http://www.wikidata.org/entity/Q19620605', 'http://www.wikidata.org/entity/Q19634873', 'http://www.wikidata.org/entity/Q19634875', 'http://www.wikidata.org/entity/Q19620594', 'http://www.wikidata.org/entity/Q19634899', 'http://www.wikidata.org/entity/Q19634867', 'http://www.wikidata.org/entity/Q19634962', 'http://www.wikidata.org/entity/Q19620584', 'http://www.wikidata.org/entity/Q19620607', 'http://www.wikidata.org/entity/Q19634903', 'http://www.wikidata.org/entity/Q19634892', 'http://www.wikidata.org/entity/Q19620586', 'http://www.wikidata.org/entity/Q19634862', 'http://www.wikidata.org/entity/Q19634949', 'http://www.wikidata.org/entity/Q19634945', 'http://www.wikidata.org/entity/Q19620595', 'http://www.wikidata.org/entity/Q19634963', 'http://www.wikidata.org/entity/Q19634880', 'http://www.wikidata.org/entity/Q19634895', 'http://www.wikidata.org/entity/Q19620606', 'http://www.wikidata.org/entity/Q19620619', 'http://www.wikidata.org/entity/Q19634923', 'http://www.wikidata.org/entity/Q19634874', 'http://www.wikidata.org/entity/Q19634944', 'http://www.wikidata.org/entity/Q19620625', 'http://www.wikidata.org/entity/Q19620622', 'http://www.wikidata.org/entity/Q19634964', 'http://www.wikidata.org/entity/Q19634915', 'http://www.wikidata.org/entity/Q19620604', 'http://www.wikidata.org/entity/Q19634871', 'http://www.wikidata.org/entity/Q19620599', 'http://www.wikidata.org/entity/Q19620626', 'http://www.wikidata.org/entity/Q19634878', 'http://www.wikidata.org/entity/Q19634906', 'http://www.wikidata.org/entity/Q19620617', 'http://www.wikidata.org/entity/Q19620568', 'http://www.wikidata.org/entity/Q19634883', 'http://www.wikidata.org/entity/Q3450227', 'http://www.wikidata.org/entity/Q19620624', 'http://www.wikidata.org/entity/Q19634894', 'http://www.wikidata.org/entity/Q19634870', 'http://www.wikidata.org/entity/Q19634877', 'http://www.wikidata.org/entity/Q19634910', 'http://www.wikidata.org/entity/Q19634941', 'http://www.wikidata.org/entity/Q19634898', 'http://www.wikidata.org/entity/Q19634939', 'http://www.wikidata.org/entity/Q19634890', 'http://www.wikidata.org/entity/Q19620569', 'http://www.wikidata.org/entity/Q19620588', 'http://www.wikidata.org/entity/Q19620603', 'http://www.wikidata.org/entity/Q19634929', 'http://www.wikidata.org/entity/Q19634955', 'http://www.wikidata.org/entity/Q19634959', 'http://www.wikidata.org/entity/Q19634960', 'http://www.wikidata.org/entity/Q19620590', 'http://www.wikidata.org/entity/Q19634925', 'http://www.wikidata.org/entity/Q19634950', 'http://www.wikidata.org/entity/Q19620600', 'http://www.wikidata.org/entity/Q19634902', 'http://www.wikidata.org/entity/Q19634932', 'http://www.wikidata.org/entity/Q19620614', 'http://www.wikidata.org/entity/Q19620585', 'http://www.wikidata.org/entity/Q19634882', 'http://www.wikidata.org/entity/Q19634926', 'http://www.wikidata.org/entity/Q19634886', 'http://www.wikidata.org/entity/Q19634872', 'http://www.wikidata.org/entity/Q315318', 'http://www.wikidata.org/entity/Q19634876', 'http://www.wikidata.org/entity/Q19620587', 'http://www.wikidata.org/entity/Q19634888', 'http://www.wikidata.org/entity/Q19634893', 'http://www.wikidata.org/entity/Q19620572', 'http://www.wikidata.org/entity/Q19620620', 'http://www.wikidata.org/entity/Q19634905', 'http://www.wikidata.org/entity/Q19634948', 'http://www.wikidata.org/entity/Q19620613', 'http://www.wikidata.org/entity/Q15298485', 'http://www.wikidata.org/entity/Q19634912', 'http://www.wikidata.org/entity/Q19620583', 'http://www.wikidata.org/entity/Q19634885', 'http://www.wikidata.org/entity/Q19634868', 'http://www.wikidata.org/entity/Q19634904', 'http://www.wikidata.org/entity/Q19634908', 'http://www.wikidata.org/entity/Q19634916', 'http://www.wikidata.org/entity/Q19634931', 'http://www.wikidata.org/entity/Q19634965', 'http://www.wikidata.org/entity/Q19634952', 'http://www.wikidata.org/entity/Q19634864', 'http://www.wikidata.org/entity/Q19634869', 'http://www.wikidata.org/entity/Q19634956', 'http://www.wikidata.org/entity/Q19634891', 'http://www.wikidata.org/entity/Q19620615', 'http://www.wikidata.org/entity/Q19634933', 'http://www.wikidata.org/entity/Q224124', 'http://www.wikidata.org/entity/Q19634951', 'http://www.wikidata.org/entity/Q19620602', 'http://www.wikidata.org/entity/Q19634918', 'http://www.wikidata.org/entity/Q19634927', 'http://www.wikidata.org/entity/Q19634946', 'http://www.wikidata.org/entity/Q19634953', 'http://www.wikidata.org/entity/Q19634938', 'http://www.wikidata.org/entity/Q19634889', 'http://www.wikidata.org/entity/Q19634919', 'http://www.wikidata.org/entity/Q19634917', 'http://www.wikidata.org/entity/Q19634900', 'http://www.wikidata.org/entity/Q19634934', 'http://www.wikidata.org/entity/Q19634866', 'http://www.wikidata.org/entity/Q19634879', 'http://www.wikidata.org/entity/Q19620570', 'http://www.wikidata.org/entity/Q19634863', 'http://www.wikidata.org/entity/Q19634940', 'http://www.wikidata.org/entity/Q19634907', 'http://www.wikidata.org/entity/Q19634937', 'http://www.wikidata.org/entity/Q19634942', 'http://www.wikidata.org/entity/Q19634961', 'http://www.wikidata.org/entity/Q19634913', 'http://www.wikidata.org/entity/Q19620601', 'http://www.wikidata.org/entity/Q19634920', 'http://www.wikidata.org/entity/Q19634957', 'http://www.wikidata.org/entity/Q19634935', 'http://www.wikidata.org/entity/Q19620573', 'http://www.wikidata.org/entity/Q19620616']",28
2,3,3-outgoing-http://www.wikidata.org/entity/Q2714571;http://www.wikidata.org/prop/direct/P180,28,"['http://www.wikidata.org/entity/Q19835891', 'http://www.wikidata.org/entity/Q19835885', 'http://www.wikidata.org/entity/Q3630735', 'http://www.wikidata.org/entity/Q9162658', 'http://www.wikidata.org/entity/Q19836079', 'http://www.wikidata.org/entity/Q2714571', 'http://www.wikidata.org/entity/Q18689443', 'http://www.wikidata.org/entity/Q19363211', 'http://www.wikidata.org/entity/Q9162674', 'http://www.wikidata.org/entity/Q19836042', 'http://www.wikidata.org/entity/Q26221128', 'http://www.wikidata.org/entity/Q19835862', 'http://www.wikidata.org/entity/Q19363214', 'http://www.wikidata.org/entity/Q19836324', 'http://www.wikidata.org/entity/Q19835858', 'http://www.wikidata.org/entity/Q19836145', 'http://www.wikidata.org/entity/Q19838007', 'http://www.wikidata.org/entity/Q9162657', 'http://www.wikidata.org/entity/Q9162686', 'http://www.wikidata.org/entity/Q41488381', 'http://www.wikidata.org/entity/Q1423854', 'http://www.wikidata.org/entity/Q22329831', 'http://www.wikidata.org/entity/Q19833865', 'http://www.wikidata.org/entity/Q2301836', 'http://www.wikidata.org/entity/Q2093283', 'http://www.wikidata.org/entity/Q19836051', 'http://www.wikidata.org/entity/Q3643629', 'http://www.wikidata.org/entity/Q19836181']",21
