,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P138;http://www.wikidata.org/entity/Q18456,1,['http://www.wikidata.org/entity/Q18456'],8
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P50;http://www.wikidata.org/entity/Q18456,8,"['http://www.wikidata.org/entity/Q827668', 'http://www.wikidata.org/entity/Q137526', 'http://www.wikidata.org/entity/Q29353533', 'http://www.wikidata.org/entity/Q27737699', 'http://www.wikidata.org/entity/Q827666', 'http://www.wikidata.org/entity/Q18950260', 'http://www.wikidata.org/entity/Q15299313', 'http://www.wikidata.org/entity/Q827673']",2
2,3,3-outgoing-http://www.wikidata.org/entity/Q12349326;http://www.wikidata.org/prop/direct/P50,2,"['http://www.wikidata.org/entity/Q212687', 'http://www.wikidata.org/entity/Q12349326']",6
