,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P175;http://www.wikidata.org/entity/Q57774,1,['http://www.wikidata.org/entity/Q57774'],8
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P155;http://www.wikidata.org/entity/Q15488363,8,"['http://www.wikidata.org/entity/Q20072092', 'http://www.wikidata.org/entity/Q20072367', 'http://www.wikidata.org/entity/Q16035376', 'http://www.wikidata.org/entity/Q3053829', 'http://www.wikidata.org/entity/Q15488363', 'http://www.wikidata.org/entity/Q3460120', 'http://www.wikidata.org/entity/Q3484697', 'http://www.wikidata.org/entity/Q3459742']",2
2,3,3-outgoing-http://www.wikidata.org/entity/Q15488363;http://www.wikidata.org/prop/direct/P136,0,[],2
