,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P175;http://www.wikidata.org/entity/Q26876,1,['http://www.wikidata.org/entity/Q26876'],86
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P676;http://www.wikidata.org/entity/Q26876,86,"['http://www.wikidata.org/entity/Q1648799', 'http://www.wikidata.org/entity/Q2529184', 'http://www.wikidata.org/entity/Q17151108', 'http://www.wikidata.org/entity/Q18441355', 'http://www.wikidata.org/entity/Q252057', 'http://www.wikidata.org/entity/Q154078', 'http://www.wikidata.org/entity/Q339597', 'http://www.wikidata.org/entity/Q22918941', 'http://www.wikidata.org/entity/Q38552445', 'http://www.wikidata.org/entity/Q921515', 'http://www.wikidata.org/entity/Q129982', 'http://www.wikidata.org/entity/Q2262482', 'http://www.wikidata.org/entity/Q19892111', 'http://www.wikidata.org/entity/Q7746116', 'http://www.wikidata.org/entity/Q1389064', 'http://www.wikidata.org/entity/Q17155561', 'http://www.wikidata.org/entity/Q1128178', 'http://www.wikidata.org/entity/Q10381624', 'http://www.wikidata.org/entity/Q5749426', 'http://www.wikidata.org/entity/Q18786715', 'http://www.wikidata.org/entity/Q27076640', 'http://www.wikidata.org/entity/Q767632', 'http://www.wikidata.org/entity/Q616828', 'http://www.wikidata.org/entity/Q2419130', 'http://www.wikidata.org/entity/Q5975859', 'http://www.wikidata.org/entity/Q276585', 'http://www.wikidata.org/entity/Q845783', 'http://www.wikidata.org/entity/Q2303661', 'http://www.wikidata.org/entity/Q2758707', 'http://www.wikidata.org/entity/Q276589', 'http://www.wikidata.org/entity/Q18333025', 'http://www.wikidata.org/entity/Q5418004', 'http://www.wikidata.org/entity/Q20882673', 'http://www.wikidata.org/entity/Q1256838', 'http://www.wikidata.org/entity/Q842214', 'http://www.wikidata.org/entity/Q21100', 'http://www.wikidata.org/entity/Q2413072', 'http://www.wikidata.org/entity/Q2422194', 'http://www.wikidata.org/entity/Q5513746', 'http://www.wikidata.org/entity/Q1535176', 'http://www.wikidata.org/entity/Q3517369', 'http://www.wikidata.org/entity/Q42292643', 'http://www.wikidata.org/entity/Q37814092', 'http://www.wikidata.org/entity/Q858750', 'http://www.wikidata.org/entity/Q42976009', 'http://www.wikidata.org/entity/Q720620', 'http://www.wikidata.org/entity/Q2076570', 'http://www.wikidata.org/entity/Q3077189', 'http://www.wikidata.org/entity/Q10299853', 'http://www.wikidata.org/entity/Q276736', 'http://www.wikidata.org/entity/Q2422033', 'http://www.wikidata.org/entity/Q17544553', 'http://www.wikidata.org/entity/Q2073347', 'http://www.wikidata.org/entity/Q7749158', 'http://www.wikidata.org/entity/Q15111594', 'http://www.wikidata.org/entity/Q2699445', 'http://www.wikidata.org/entity/Q12175879', 'http://www.wikidata.org/entity/Q1708696', 'http://www.wikidata.org/entity/Q7605049', 'http://www.wikidata.org/entity/Q5885603', 'http://www.wikidata.org/entity/Q2073355', 'http://www.wikidata.org/entity/Q3257058', 'http://www.wikidata.org/entity/Q2704752', 'http://www.wikidata.org/entity/Q3944735', 'http://www.wikidata.org/entity/Q17544624', 'http://www.wikidata.org/entity/Q1780764', 'http://www.wikidata.org/entity/Q3977957', 'http://www.wikidata.org/entity/Q1764379', 'http://www.wikidata.org/entity/Q27988136', 'http://www.wikidata.org/entity/Q18010995', 'http://www.wikidata.org/entity/Q2274912', 'http://www.wikidata.org/entity/Q2274900', 'http://www.wikidata.org/entity/Q7602066', 'http://www.wikidata.org/entity/Q2076591', 'http://www.wikidata.org/entity/Q2076553', 'http://www.wikidata.org/entity/Q10319654', 'http://www.wikidata.org/entity/Q1996395', 'http://www.wikidata.org/entity/Q2539096', 'http://www.wikidata.org/entity/Q2705596', 'http://www.wikidata.org/entity/Q46606655', 'http://www.wikidata.org/entity/Q1948523', 'http://www.wikidata.org/entity/Q1318118', 'http://www.wikidata.org/entity/Q26400765', 'http://www.wikidata.org/entity/Q37912621', 'http://www.wikidata.org/entity/Q18247605', 'http://www.wikidata.org/entity/Q385122']",24
2,3,3-outgoing-http://www.wikidata.org/entity/Q37814092;http://www.wikidata.org/prop/direct/P658,1,['http://www.wikidata.org/entity/Q4205835'],15
