,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P138;http://www.wikidata.org/entity/Q5593,1,['http://www.wikidata.org/entity/Q5593'],8
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P195;http://www.wikidata.org/entity/Q1050032,8,"['http://www.wikidata.org/entity/Q1050032', 'http://www.wikidata.org/entity/Q7190530', 'http://www.wikidata.org/entity/Q593257', 'http://www.wikidata.org/entity/Q3390016', 'http://www.wikidata.org/entity/Q2866149', 'http://www.wikidata.org/entity/Q6033669', 'http://www.wikidata.org/entity/Q7121722', 'http://www.wikidata.org/entity/Q20549957']",62
2,3,3-ingoing-http://www.wikidata.org/prop/direct/P276;http://www.wikidata.org/entity/Q1050032,62,"['http://www.wikidata.org/entity/Q18719527', 'http://www.wikidata.org/entity/Q21849622', 'http://www.wikidata.org/entity/Q9004550', 'http://www.wikidata.org/entity/Q22953082', 'http://www.wikidata.org/entity/Q21815345', 'http://www.wikidata.org/entity/Q8209960', 'http://www.wikidata.org/entity/Q576641', 'http://www.wikidata.org/entity/Q3847029', 'http://www.wikidata.org/entity/Q5964371', 'http://www.wikidata.org/entity/Q11913315', 'http://www.wikidata.org/entity/Q8355010', 'http://www.wikidata.org/entity/Q21815342', 'http://www.wikidata.org/entity/Q8773916', 'http://www.wikidata.org/entity/Q9068390', 'http://www.wikidata.org/entity/Q11930209', 'http://www.wikidata.org/entity/Q21849422', 'http://www.wikidata.org/entity/Q11208824', 'http://www.wikidata.org/entity/Q19950538', 'http://www.wikidata.org/entity/Q2880494', 'http://www.wikidata.org/entity/Q8773719', 'http://www.wikidata.org/entity/Q11687815', 'http://www.wikidata.org/entity/Q9068403', 'http://www.wikidata.org/entity/Q21819887', 'http://www.wikidata.org/entity/Q9019423', 'http://www.wikidata.org/entity/Q8254433', 'http://www.wikidata.org/entity/Q11913985', 'http://www.wikidata.org/entity/Q21849624', 'http://www.wikidata.org/entity/Q21819881', 'http://www.wikidata.org/entity/Q21809302', 'http://www.wikidata.org/entity/Q11293741', 'http://www.wikidata.org/entity/Q11281016', 'http://www.wikidata.org/entity/Q6869391', 'http://www.wikidata.org/entity/Q18719552', 'http://www.wikidata.org/entity/Q283822', 'http://www.wikidata.org/entity/Q3842792', 'http://www.wikidata.org/entity/Q21849423', 'http://www.wikidata.org/entity/Q3622785', 'http://www.wikidata.org/entity/Q8773528', 'http://www.wikidata.org/entity/Q15626714', 'http://www.wikidata.org/entity/Q21819877', 'http://www.wikidata.org/entity/Q9004582', 'http://www.wikidata.org/entity/Q9019249', 'http://www.wikidata.org/entity/Q4179481', 'http://www.wikidata.org/entity/Q9059958', 'http://www.wikidata.org/entity/Q21849453', 'http://www.wikidata.org/entity/Q5792254', 'http://www.wikidata.org/entity/Q16168407', 'http://www.wikidata.org/entity/Q11918427', 'http://www.wikidata.org/entity/Q16189824', 'http://www.wikidata.org/entity/Q21815307', 'http://www.wikidata.org/entity/Q21819888', 'http://www.wikidata.org/entity/Q5704303', 'http://www.wikidata.org/entity/Q8249083', 'http://www.wikidata.org/entity/Q21815365', 'http://www.wikidata.org/entity/Q8210891', 'http://www.wikidata.org/entity/Q21849421', 'http://www.wikidata.org/entity/Q21849592', 'http://www.wikidata.org/entity/Q9068393', 'http://www.wikidata.org/entity/Q21815357', 'http://www.wikidata.org/entity/Q18719526', 'http://www.wikidata.org/entity/Q18719528', 'http://www.wikidata.org/entity/Q11702947']",37
