,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-ingoing-http://www.wikidata.org/prop/direct/P138;http://www.wikidata.org/entity/Q254,1,['http://www.wikidata.org/entity/Q254'],174
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P47;http://www.wikidata.org/entity/Q790573,174,"['http://www.wikidata.org/entity/Q19350969', 'http://www.wikidata.org/entity/Q19351008', 'http://www.wikidata.org/entity/Q47013034', 'http://www.wikidata.org/entity/Q19350983', 'http://www.wikidata.org/entity/Q19351072', 'http://www.wikidata.org/entity/Q19351069', 'http://www.wikidata.org/entity/Q2515769', 'http://www.wikidata.org/entity/Q19351024', 'http://www.wikidata.org/entity/Q19351084', 'http://www.wikidata.org/entity/Q3558681', 'http://www.wikidata.org/entity/Q45315455', 'http://www.wikidata.org/entity/Q19351014', 'http://www.wikidata.org/entity/Q19350995', 'http://www.wikidata.org/entity/Q19351078', 'http://www.wikidata.org/entity/Q19351070', 'http://www.wikidata.org/entity/Q19351101', 'http://www.wikidata.org/entity/Q19351053', 'http://www.wikidata.org/entity/Q19351095', 'http://www.wikidata.org/entity/Q19350984', 'http://www.wikidata.org/entity/Q19350992', 'http://www.wikidata.org/entity/Q19351036', 'http://www.wikidata.org/entity/Q19351111', 'http://www.wikidata.org/entity/Q19351027', 'http://www.wikidata.org/entity/Q19351029', 'http://www.wikidata.org/entity/Q19350963', 'http://www.wikidata.org/entity/Q19351099', 'http://www.wikidata.org/entity/Q262038', 'http://www.wikidata.org/entity/Q19351043', 'http://www.wikidata.org/entity/Q44823424', 'http://www.wikidata.org/entity/Q19351056', 'http://www.wikidata.org/entity/Q19351011', 'http://www.wikidata.org/entity/Q18071657', 'http://www.wikidata.org/entity/Q19351023', 'http://www.wikidata.org/entity/Q19351080', 'http://www.wikidata.org/entity/Q19351016', 'http://www.wikidata.org/entity/Q19350993', 'http://www.wikidata.org/entity/Q19351002', 'http://www.wikidata.org/entity/Q19351086', 'http://www.wikidata.org/entity/Q19351037', 'http://www.wikidata.org/entity/Q19350962', 'http://www.wikidata.org/entity/Q19351083', 'http://www.wikidata.org/entity/Q19350981', 'http://www.wikidata.org/entity/Q45031015', 'http://www.wikidata.org/entity/Q19350965', 'http://www.wikidata.org/entity/Q19350974', 'http://www.wikidata.org/entity/Q19351077', 'http://www.wikidata.org/entity/Q4300598', 'http://www.wikidata.org/entity/Q19350996', 'http://www.wikidata.org/entity/Q19351038', 'http://www.wikidata.org/entity/Q43442617', 'http://www.wikidata.org/entity/Q19351000', 'http://www.wikidata.org/entity/Q19351060', 'http://www.wikidata.org/entity/Q19350979', 'http://www.wikidata.org/entity/Q21035794', 'http://www.wikidata.org/entity/Q19351021', 'http://www.wikidata.org/entity/Q19351010', 'http://www.wikidata.org/entity/Q19350999', 'http://www.wikidata.org/entity/Q19351064', 'http://www.wikidata.org/entity/Q16990296', 'http://www.wikidata.org/entity/Q19350994', 'http://www.wikidata.org/entity/Q43389023', 'http://www.wikidata.org/entity/Q19351082', 'http://www.wikidata.org/entity/Q19351040', 'http://www.wikidata.org/entity/Q18202230', 'http://www.wikidata.org/entity/Q790573', 'http://www.wikidata.org/entity/Q3494738', 'http://www.wikidata.org/entity/Q19351042', 'http://www.wikidata.org/entity/Q19350971', 'http://www.wikidata.org/entity/Q3866726', 'http://www.wikidata.org/entity/Q19351067', 'http://www.wikidata.org/entity/Q43473344', 'http://www.wikidata.org/entity/Q19351019', 'http://www.wikidata.org/entity/Q45320036', 'http://www.wikidata.org/entity/Q45350127', 'http://www.wikidata.org/entity/Q19350998', 'http://www.wikidata.org/entity/Q19351094', 'http://www.wikidata.org/entity/Q19350980', 'http://www.wikidata.org/entity/Q19351055', 'http://www.wikidata.org/entity/Q19351049', 'http://www.wikidata.org/entity/Q19350978', 'http://www.wikidata.org/entity/Q19350972', 'http://www.wikidata.org/entity/Q19350977', 'http://www.wikidata.org/entity/Q19351092', 'http://www.wikidata.org/entity/Q19351102', 'http://www.wikidata.org/entity/Q19351106', 'http://www.wikidata.org/entity/Q3327039', 'http://www.wikidata.org/entity/Q19351091', 'http://www.wikidata.org/entity/Q19351030', 'http://www.wikidata.org/entity/Q19350991', 'http://www.wikidata.org/entity/Q19351018', 'http://www.wikidata.org/entity/Q19351048', 'http://www.wikidata.org/entity/Q19350964', 'http://www.wikidata.org/entity/Q45087762', 'http://www.wikidata.org/entity/Q19350970', 'http://www.wikidata.org/entity/Q19351105', 'http://www.wikidata.org/entity/Q263223', 'http://www.wikidata.org/entity/Q19351073', 'http://www.wikidata.org/entity/Q19350976', 'http://www.wikidata.org/entity/Q121489', 'http://www.wikidata.org/entity/Q19351001', 'http://www.wikidata.org/entity/Q19351046', 'http://www.wikidata.org/entity/Q19351097', 'http://www.wikidata.org/entity/Q19350975', 'http://www.wikidata.org/entity/Q1559294', 'http://www.wikidata.org/entity/Q43402490', 'http://www.wikidata.org/entity/Q19351075', 'http://www.wikidata.org/entity/Q45921483', 'http://www.wikidata.org/entity/Q19351026', 'http://www.wikidata.org/entity/Q19351020', 'http://www.wikidata.org/entity/Q19350973', 'http://www.wikidata.org/entity/Q19350966', 'http://www.wikidata.org/entity/Q19351015', 'http://www.wikidata.org/entity/Q19351050', 'http://www.wikidata.org/entity/Q19351061', 'http://www.wikidata.org/entity/Q19351041', 'http://www.wikidata.org/entity/Q19351096', 'http://www.wikidata.org/entity/Q6052272', 'http://www.wikidata.org/entity/Q251538', 'http://www.wikidata.org/entity/Q19351100', 'http://www.wikidata.org/entity/Q19351063', 'http://www.wikidata.org/entity/Q19350989', 'http://www.wikidata.org/entity/Q19351057', 'http://www.wikidata.org/entity/Q19350982', 'http://www.wikidata.org/entity/Q19351044', 'http://www.wikidata.org/entity/Q19351005', 'http://www.wikidata.org/entity/Q19350985', 'http://www.wikidata.org/entity/Q19351051', 'http://www.wikidata.org/entity/Q45322833', 'http://www.wikidata.org/entity/Q528683', 'http://www.wikidata.org/entity/Q19351062', 'http://www.wikidata.org/entity/Q19351054', 'http://www.wikidata.org/entity/Q19351035', 'http://www.wikidata.org/entity/Q19351034', 'http://www.wikidata.org/entity/Q19351052', 'http://www.wikidata.org/entity/Q19351065', 'http://www.wikidata.org/entity/Q19350987', 'http://www.wikidata.org/entity/Q19351081', 'http://www.wikidata.org/entity/Q19351108', 'http://www.wikidata.org/entity/Q19351004', 'http://www.wikidata.org/entity/Q19351017', 'http://www.wikidata.org/entity/Q19351039', 'http://www.wikidata.org/entity/Q19351071', 'http://www.wikidata.org/entity/Q19351110', 'http://www.wikidata.org/entity/Q19351033', 'http://www.wikidata.org/entity/Q19351093', 'http://www.wikidata.org/entity/Q19350968', 'http://www.wikidata.org/entity/Q19351003', 'http://www.wikidata.org/entity/Q19351047', 'http://www.wikidata.org/entity/Q45100726', 'http://www.wikidata.org/entity/Q44974008', 'http://www.wikidata.org/entity/Q19351058', 'http://www.wikidata.org/entity/Q19350986', 'http://www.wikidata.org/entity/Q451806', 'http://www.wikidata.org/entity/Q19351025', 'http://www.wikidata.org/entity/Q19351059', 'http://www.wikidata.org/entity/Q19351068', 'http://www.wikidata.org/entity/Q44810474', 'http://www.wikidata.org/entity/Q19350967', 'http://www.wikidata.org/entity/Q19351085', 'http://www.wikidata.org/entity/Q19351089', 'http://www.wikidata.org/entity/Q19351103', 'http://www.wikidata.org/entity/Q45142472', 'http://www.wikidata.org/entity/Q19351076', 'http://www.wikidata.org/entity/Q19351006', 'http://www.wikidata.org/entity/Q19351012', 'http://www.wikidata.org/entity/Q45699762', 'http://www.wikidata.org/entity/Q19350988', 'http://www.wikidata.org/entity/Q19351066', 'http://www.wikidata.org/entity/Q19351031', 'http://www.wikidata.org/entity/Q19350990', 'http://www.wikidata.org/entity/Q19351045', 'http://www.wikidata.org/entity/Q19351087', 'http://www.wikidata.org/entity/Q19351028', 'http://www.wikidata.org/entity/Q19351022']",25
2,3,3-outgoing-http://www.wikidata.org/entity/Q790573;http://www.wikidata.org/prop/direct/P47,23,"['http://www.wikidata.org/entity/Q2873503', 'http://www.wikidata.org/entity/Q3452335', 'http://www.wikidata.org/entity/Q2174616', 'http://www.wikidata.org/entity/Q3447602', 'http://www.wikidata.org/entity/Q3558538', 'http://www.wikidata.org/entity/Q3449520', 'http://www.wikidata.org/entity/Q3451224', 'http://www.wikidata.org/entity/Q3449609', 'http://www.wikidata.org/entity/Q3449719', 'http://www.wikidata.org/entity/Q3209412', 'http://www.wikidata.org/entity/Q3447634', 'http://www.wikidata.org/entity/Q3450048', 'http://www.wikidata.org/entity/Q3448757', 'http://www.wikidata.org/entity/Q3451408', 'http://www.wikidata.org/entity/Q3448290', 'http://www.wikidata.org/entity/Q3451580', 'http://www.wikidata.org/entity/Q3448115', 'http://www.wikidata.org/entity/Q2961683', 'http://www.wikidata.org/entity/Q1540419', 'http://www.wikidata.org/entity/Q3452085', 'http://www.wikidata.org/entity/Q3447356', 'http://www.wikidata.org/entity/Q3452152', 'http://www.wikidata.org/entity/Q3447180']",25
